SuperClass-SubClass        Link
Indoor-French              https://www.youtube.com/watch?v=IRG9Z7Y2uS4    
Indoor-WaitingRoom         https://www.youtube.com/watch?v=ey9J7w98wlI    
Indoor-Cooking             https://www.youtube.com/watch?v=MzcdEI-tSUc          
Indoor-Warehouse           https://www.youtube.com/watch?v=1LM84FSzW0g  
Outdoor-Surfing            https://www.youtube.com/watch?v=SZYXQ-6bfiQ  
Indoor-Passageway          https://www.youtube.com/watch?v=jb5YxiXIsjU  
Indoor-RuralDriving        https://www.youtube.com/watch?v=72f3ayGhMEA
Outdoor-Lawn               https://www.youtube.com/watch?v=ZuXCMpVR24I  
Outdoor-AudiAd             https://www.youtube.com/watch?v=72f3ayGhMEA  
Indoor-ScenePlay           https://www.youtube.com/watch?v=Gq4Y4gL3zSg  
Indoor-UrbanDriving        https://www.youtube.com/watch?v=n524y8uPUaU    
Indoor-Interview           https://www.youtube.com/watch?v=UpFZ2YaKeqM  
Indoor-Telephone           https://www.youtube.com/watch?v=idLVnagjl_s  
Outdoor-Walking            https://www.youtube.com/watch?v=1LM84FSzW0g  
Outdoor-Bridge             https://www.youtube.com/watch?v=1LM84FSzW0g  
Indoor-Breakfast           https://www.youtube.com/watch?v=4SilhsTuDU0  
Indoor-BadmintonConvo      https://www.youtube.com/watch?v=Ngj6C_RMK1g  
Indoor-Director            https://www.youtube.com/watch?v=J0Q4L68o3xE  
Indoor-ChineseAd           https://www.youtube.com/watch?v=J0Q4L68o3xE  
Indoor-Brothers            https://www.youtube.com/watch?v=Uy5LTocHmoA  
Indoor-Spanish             https://www.youtube.com/watch?v=JBrp8aG4lro  
Indoor-Questions           https://www.youtube.com/watch?v=ey9J7w98wlI   
Indoor-PianoMono           https://www.youtube.com/watch?v=Pxe920CL0GY
Outdoor-Snowfield          https://www.youtube.com/watch?v=o7JEBWV4CmY  
Indoor-Melodrama           https://www.youtube.com/watch?v=5h95uTtPeck  
Indoor-Guitar              https://www.youtube.com/watch?v=4fxKBGthpaw    
Indoor-Bass                https://www.youtube.com/watch?v=baRj0O4cqgI  
Indoor-MICOSinging         https://www.youtube.com/watch?v=gTB1nfK-0Ac  
Indoor-Clarinet            https://www.youtube.com/watch?v=TCUsegqBZ_M  
Indoor-PianoSaxophone      https://www.youtube.com/watch?v=MDwhMMSFkJ8  
Indoor-Chorus              https://www.youtube.com/watch?v=dBM3eM9HOoA  
Indoor-Studio              https://www.youtube.com/watch?v=6QUCaLvQ_3I  
Indoor-Blues               https://www.youtube.com/watch?v=V3zp7XOGBhs  
Indoor-Violins             https://www.youtube.com/watch?v=Bvu9m__ZX60    
Outdoor-Beach              https://www.youtube.com/watch?v=RSYbTSTz91g    
Outdoor-Japanese           https://www.youtube.com/watch?v=0suxwissusc  
Outdoor-Tennis             https://www.youtube.com/watch?v=nZJGt3ZVg3g      
Outdoor-RacingCar          https://www.youtube.com/watch?v=72f3ayGhMEA   
Outdoor-Football           https://www.youtube.com/watch?v=HNQMF7e6IL0   
Outdoor-Bicycling          https://www.youtube.com/watch?v=nwEQ3oqmwgA
Indoor-SingingDancing      https://www.youtube.com/watch?v=1An41lDIJ6Q 
